sk_produto,codigo_produto,ean,nome_produto,marca,departamento,categoria,subcategoria,unidade_medida,peso_liquido_g,produto_marca_propria,perecivel,fornecedor_padrao_sk,preco_lista,custo_unitario,margem_base_pct,ativo,ativo_flag
36,PRD000036,7890000000036,Água Tradicional 36,Marca G,Açougue,Grãos,Zero,UN,2678.0,0,1,36,119.6,94.48,39.0,1,True
37,PRD000037,7890000000037,Chocolate Premium 37,Marca H,Padaria,Sucos,Tradicional,KG,2751.0,0,1,37,17.9,10.56,46.0,1,True
38,PRD000038,7890000000038,Ração Integral 38,Marca I,Bazar,Banho,Orgânico,G,2824.0,0,1,38,161.8,119.73,20.0,1,True
39,PRD000039,7890000000039,Absorvente Light 39,Marca J,Pet,Casa,Sem Glúten,L,2897.0,0,0,39,174.7,132.77,27.0,1,True
40,PRD000040,7890000000040,Arroz Zero 40,Marca K,Mercearia,Frios,Sem Lactose,ML,2970.0,0,0,40,55.0,39.6,34.0,1,True
41,PRD000041,7890000000041,Feijão Família 41,Marca L,Mercearia,Carnes,Kids,CX,3043.0,0,0,41,56.3,40.54,41.0,1,True
42,PRD000042,7890000000042,Macarrão Econômico 42,Marca M,Bebidas,Pães,Família,UN,3116.0,0,0,42,73.4,49.91,48.0,1,True
43,PRD000043,7890000000043,Leite Natural 43,Marca N,Higiene,Utilidades,Refil,KG,3189.0,0,0,43,85.7,53.99,22.0,1,True
44,PRD000044,7890000000044,Refrigerante Suave 44,Marca Própria,Limpeza,Animais,Concentrado,G,3262.0,1,0,44,106.2,70.09,29.0,1,True
45,PRD000045,7890000000045,Sabonete Extra 45,Marca A,Laticínios,Doces,Mini,L,3335.0,0,1,45,133.5,94.79,36.0,1,True
46,PRD000046,7890000000046,Detergente Max 46,Marca B,Açougue,Cereais,Grande,ML,3408.0,0,1,46,150.6,118.97,43.0,1,True
47,PRD000047,7890000000047,Shampoo Fresh 47,Marca C,Padaria,Perfumaria,Econômico,CX,3481.0,0,1,47,54.9,32.39,50.0,1,True
48,PRD000048,7890000000048,Iogurte Plus 48,Marca D,Bazar,Grãos,Standard,UN,3554.0,0,0,48,202.8,150.07,24.0,1,True
49,PRD000049,7890000000049,Queijo Caseiro 49,Marca E,Pet,Sucos,Premium,KG,3627.0,0,0,49,217.7,165.45,31.0,1,True
50,PRD000050,7890000000050,Pão Artesanal 50,Marca F,Mercearia,Banho,Diet,G,3700.0,0,0,50,68.0,48.96,38.0,1,True
51,PRD000051,7890000000051,Biscoito Fortificado 51,Marca G,Mercearia,Casa,Light,L,3773.0,0,0,51,69.3,49.9,45.0,1,True
52,PRD000052,7890000000052,Café Kids 52,Marca H,Bebidas,Frios,Zero,ML,3846.0,0,0,52,90.4,61.47,19.0,1,True
53,PRD000053,7890000000053,Açúcar Original 53,Marca I,Higiene,Carnes,Tradicional,CX,3919.0,0,0,53,104.7,65.96,26.0,1,True
54,PRD000054,7890000000054,Farinha Tradicional 54,Marca J,Limpeza,Pães,Orgânico,UN,3992.0,0,1,54,129.2,85.27,33.0,1,True
55,PRD000055,7890000000055,Óleo Premium 55,Marca K,Laticínios,Utilidades,Sem Glúten,KG,4065.0,1,1,55,162.5,115.38,40.0,1,True
56,PRD000056,7890000000056,Água Integral 56,Marca L,Açougue,Animais,Sem Lactose,G,4138.0,0,1,56,181.6,143.46,47.0,1,True
57,PRD000057,7890000000057,Chocolate Light 57,Marca M,Padaria,Doces,Kids,L,4211.0,0,0,57,91.9,54.22,21.0,1,True
58,PRD000058,7890000000058,Ração Zero 58,Marca N,Bazar,Cereais,Família,ML,4284.0,0,0,58,243.8,180.41,28.0,1,True
59,PRD000059,7890000000059,Absorvente Família 59,Marca Própria,Pet,Perfumaria,Refil,CX,4357.0,0,0,59,260.7,198.13,35.0,1,True
60,PRD000060,7890000000060,Arroz Econômico 60,Marca A,Mercearia,Grãos,Concentrado,UN,4430.0,0,0,60,81.0,58.32,42.0,1,True
61,PRD000061,7890000000061,Feijão Natural 61,Marca B,Mercearia,Sucos,Mini,KG,4503.0,0,0,61,82.3,59.26,49.0,1,True
62,PRD000062,7890000000062,Macarrão Suave 62,Marca C,Bebidas,Banho,Grande,G,4576.0,0,0,62,107.4,73.03,23.0,1,True
63,PRD000063,7890000000063,Leite Extra 63,Marca D,Higiene,Casa,Econômico,L,4649.0,0,1,63,123.7,77.93,30.0,1,True
64,PRD000064,7890000000064,Refrigerante Max 64,Marca E,Limpeza,Frios,Standard,ML,4722.0,0,1,64,152.2,100.45,37.0,1,True
65,PRD000065,7890000000065,Sabonete Fresh 65,Marca F,Laticínios,Carnes,Premium,CX,4795.0,0,1,65,11.5,8.17,44.0,1,True
66,PRD000066,7890000000066,Detergente Plus 66,Marca G,Açougue,Pães,Diet,UN,4868.0,1,0,66,212.6,167.95,18.0,1,True
67,PRD000067,7890000000067,Shampoo Caseiro 67,Marca H,Padaria,Utilidades,Light,KG,91.0,0,0,67,8.9,5.25,25.0,1,True
68,PRD000068,7890000000068,Iogurte Artesanal 68,Marca I,Bazar,Animais,Zero,G,164.0,0,0,68,284.8,210.75,32.0,1,True
69,PRD000069,7890000000069,Queijo Fortificado 69,Marca J,Pet,Doces,Tradicional,L,237.0,0,0,69,303.7,230.81,39.0,1,True
70,PRD000070,7890000000070,Pão Kids 70,Marca K,Mercearia,Cereais,Orgânico,ML,310.0,0,0,70,94.0,67.68,46.0,1,True
71,PRD000071,7890000000071,Biscoito Original 71,Marca L,Mercearia,Perfumaria,Sem Glúten,CX,383.0,0,0,71,95.3,68.62,20.0,1,True
72,PRD000072,7890000000072,Café Tradicional 72,Marca M,Bebidas,Grãos,Sem Lactose,UN,456.0,0,1,72,124.4,84.59,27.0,1,True
73,PRD000073,7890000000073,Açúcar Premium 73,Marca N,Higiene,Sucos,Kids,KG,529.0,0,1,73,142.7,89.9,34.0,1,True
74,PRD000074,7890000000074,Farinha Integral 74,Marca Própria,Limpeza,Banho,Família,G,602.0,0,1,74,175.2,115.63,41.0,1,True
75,PRD000075,7890000000075,Óleo Light 75,Marca A,Laticínios,Casa,Refil,L,675.0,0,0,75,40.5,28.76,48.0,1,True
76,PRD000076,7890000000076,Água Zero 76,Marca B,Açougue,Frios,Concentrado,ML,748.0,0,0,76,243.6,192.44,22.0,1,True
77,PRD000077,7890000000077,Chocolate Família 77,Marca C,Padaria,Carnes,Mini,CX,821.0,1,0,77,45.9,27.08,29.0,1,True
78,PRD000078,7890000000078,Ração Econômico 78,Marca D,Bazar,Pães,Grande,UN,894.0,0,0,78,325.8,241.09,36.0,1,True
79,PRD000079,7890000000079,Absorvente Natural 79,Marca E,Pet,Utilidades,Econômico,KG,967.0,0,0,79,346.7,263.49,43.0,1,True
80,PRD000080,7890000000080,Arroz Suave 80,Marca F,Mercearia,Animais,Standard,G,1040.0,0,0,80,107.0,77.04,50.0,1,True
81,PRD000081,7890000000081,Feijão Extra 81,Marca G,Mercearia,Doces,Premium,L,1113.0,0,1,81,108.3,77.98,24.0,1,True
82,PRD000082,7890000000082,Macarrão Max 82,Marca H,Bebidas,Cereais,Diet,ML,1186.0,0,1,82,141.4,96.15,31.0,1,True
83,PRD000083,7890000000083,Leite Fresh 83,Marca I,Higiene,Perfumaria,Light,CX,1259.0,0,1,83,161.7,101.87,38.0,1,True
84,PRD000084,7890000000084,Refrigerante Plus 84,Marca J,Limpeza,Grãos,Zero,UN,1332.0,0,0,84,198.2,130.81,45.0,1,True
85,PRD000085,7890000000085,Sabonete Caseiro 85,Marca K,Laticínios,Sucos,Tradicional,KG,1405.0,0,0,85,69.5,49.35,19.0,1,True
86,PRD000086,7890000000086,Detergente Artesanal 86,Marca L,Açougue,Banho,Orgânico,G,1478.0,0,0,86,274.6,216.93,26.0,1,True
87,PRD000087,7890000000087,Shampoo Fortificado 87,Marca M,Padaria,Casa,Sem Glúten,L,1551.0,0,0,87,82.9,48.91,33.0,1,True
88,PRD000088,7890000000088,Iogurte Kids 88,Marca N,Bazar,Frios,Sem Lactose,ML,1624.0,1,0,88,366.8,271.43,40.0,1,True
89,PRD000089,7890000000089,Queijo Original 89,Marca Própria,Pet,Carnes,Kids,CX,1697.0,0,0,89,389.7,296.17,47.0,1,True
90,PRD000090,7890000000090,Pão Tradicional 90,Marca A,Mercearia,Pães,Família,UN,1770.0,0,1,90,120.0,86.4,21.0,1,True
91,PRD000091,7890000000091,Biscoito Premium 91,Marca B,Mercearia,Utilidades,Refil,KG,1843.0,0,1,91,121.3,87.34,28.0,1,True
92,PRD000092,7890000000092,Café Integral 92,Marca C,Bebidas,Animais,Concentrado,G,1916.0,0,1,92,158.4,107.71,35.0,1,True
93,PRD000093,7890000000093,Açúcar Light 93,Marca D,Higiene,Doces,Mini,L,1989.0,0,0,93,180.7,113.84,42.0,1,True
94,PRD000094,7890000000094,Farinha Zero 94,Marca E,Limpeza,Cereais,Grande,ML,2062.0,0,0,94,221.2,145.99,49.0,1,True
95,PRD000095,7890000000095,Óleo Família 95,Marca F,Laticínios,Perfumaria,Econômico,CX,2135.0,0,0,95,98.5,69.94,23.0,1,True
96,PRD000096,7890000000096,Água Econômico 96,Marca G,Açougue,Grãos,Standard,UN,2208.0,0,0,96,305.6,241.42,30.0,1,True
97,PRD000097,7890000000097,Chocolate Natural 97,Marca H,Padaria,Sucos,Premium,KG,2281.0,0,0,97,119.9,70.74,37.0,0,0
98,PRD000098,7890000000098,Ração Suave 98,Marca I,Bazar,Banho,Diet,G,2354.0,0,0,98,407.8,301.77,44.0,1,True
99,PRD000099,7890000000099,Absorvente Extra 99,Marca J,Pet,Casa,Light,L,2427.0,1,1,99,432.7,328.85,18.0,1,True
100,PRD000100,7890000000100,Arroz Max 100,Marca K,Mercearia,Frios,Zero,ML,2500.0,0,1,100,133.0,95.76,25.0,1,True
101,PRD000101,7890000000101,Feijão Fresh 101,Marca L,Mercearia,Carnes,Tradicional,CX,2573.0,0,1,101,134.3,96.7,32.0,1,True
102,PRD000102,7890000000102,Macarrão Plus 102,Marca M,Bebidas,Pães,Orgânico,UN,2646.0,0,0,102,175.4,119.27,39.0,1,True
103,PRD000103,7890000000103,Leite Caseiro 103,Marca N,Higiene,Utilidades,Sem Glúten,KG,2719.0,0,0,103,199.7,125.81,46.0,1,True
104,PRD000104,7890000000104,Refrigerante Artesanal 104,Marca Própria,Limpeza,Animais,Sem Lactose,G,2792.0,0,0,104,24.2,15.97,20.0,1,True
105,PRD000105,7890000000105,Sabonete Fortificado 105,Marca A,Laticínios,Doces,Kids,L,2865.0,0,0,105,127.5,90.53,27.0,1,True
106,PRD000106,7890000000106,Detergente Kids 106,Marca B,Açougue,Cereais,Família,ML,2938.0,0,0,106,336.6,265.91,34.0,1,True
107,PRD000107,7890000000107,Shampoo Original 107,Marca C,Padaria,Perfumaria,Refil,CX,3011.0,0,0,107,36.9,21.77,41.0,1,True
108,PRD000108,7890000000108,Iogurte Tradicional 108,Marca D,Bazar,Grãos,Concentrado,UN,3084.0,0,1,108,448.8,332.11,48.0,1,True
109,PRD000109,7890000000109,Queijo Premium 109,Marca E,Pet,Sucos,Mini,KG,3157.0,0,1,109,475.7,361.53,22.0,1,True
110,PRD000110,7890000000110,Pão Integral 110,Marca F,Mercearia,Banho,Grande,G,3230.0,1,1,110,146.0,105.12,29.0,1,True
111,PRD000111,7890000000111,Biscoito Light 111,Marca G,Mercearia,Casa,Econômico,L,3303.0,0,0,111,147.3,106.06,36.0,1,True
112,PRD000112,7890000000112,Café Zero 112,Marca H,Bebidas,Frios,Standard,ML,3376.0,0,0,112,192.4,130.83,43.0,1,True
113,PRD000113,7890000000113,Açúcar Família 113,Marca I,Higiene,Carnes,Premium,CX,3449.0,0,0,113,218.7,137.78,50.0,1,True
114,PRD000114,7890000000114,Farinha Econômico 114,Marca J,Limpeza,Pães,Diet,UN,3522.0,0,0,114,47.2,31.15,24.0,1,True
115,PRD000115,7890000000115,Óleo Natural 115,Marca K,Laticínios,Utilidades,Light,KG,3595.0,0,0,115,156.5,111.12,31.0,1,True
116,PRD000116,7890000000116,Água Suave 116,Marca L,Açougue,Animais,Zero,G,3668.0,0,0,116,367.6,290.4,38.0,1,True
117,PRD000117,7890000000117,Chocolate Extra 117,Marca M,Padaria,Doces,Tradicional,L,3741.0,0,1,117,73.9,43.6,45.0,1,True
118,PRD000118,7890000000118,Ração Max 118,Marca N,Bazar,Cereais,Orgânico,ML,3814.0,0,1,118,489.8,362.45,19.0,1,True
119,PRD000119,7890000000119,Absorvente Fresh 119,Marca Própria,Pet,Perfumaria,Sem Glúten,CX,3887.0,0,1,119,518.7,394.21,26.0,1,True
120,PRD000120,7890000000120,Arroz Plus 120,Marca A,Mercearia,Grãos,Sem Lactose,UN,3960.0,0,0,120,9.0,6.48,33.0,1,True
121,PRD000121,7890000000121,Feijão Caseiro 121,Marca B,Mercearia,Sucos,Kids,KG,4033.0,1,0,121,10.3,7.42,40.0,1,True
122,PRD000122,7890000000122,Macarrão Artesanal 122,Marca C,Bebidas,Banho,Família,G,4106.0,0,0,122,209.4,142.39,47.0,1,True
123,PRD000123,7890000000123,Leite Fortificado 123,Marca D,Higiene,Casa,Refil,L,4179.0,0,0,123,237.7,149.75,21.0,1,True
124,PRD000124,7890000000124,Refrigerante Kids 124,Marca E,Limpeza,Frios,Concentrado,ML,4252.0,0,0,124,70.2,46.33,28.0,1,True
125,PRD000125,7890000000125,Sabonete Original 125,Marca F,Laticínios,Carnes,Mini,CX,4325.0,0,0,125,5.5,3.91,35.0,1,True
126,PRD000126,7890000000126,Detergente Tradicional 126,Marca G,Açougue,Pães,Grande,UN,4398.0,0,1,126,398.6,314.89,42.0,1,True
127,PRD000127,7890000000127,Shampoo Premium 127,Marca H,Padaria,Utilidades,Econômico,KG,4471.0,0,1,127,110.9,65.43,49.0,1,True
128,PRD000128,7890000000128,Iogurte Integral 128,Marca I,Bazar,Animais,Standard,G,4544.0,0,1,128,530.8,392.79,23.0,1,True
129,PRD000129,7890000000129,Queijo Light 129,Marca J,Pet,Doces,Premium,L,4617.0,0,0,129,11.7,8.89,30.0,1,True
130,PRD000130,7890000000130,Pão Zero 130,Marca K,Mercearia,Cereais,Diet,ML,4690.0,0,0,130,22.0,15.84,37.0,1,True
131,PRD000131,7890000000131,Biscoito Família 131,Marca L,Mercearia,Perfumaria,Light,CX,4763.0,0,0,131,23.3,16.78,44.0,1,True
132,PRD000132,7890000000132,Café Econômico 132,Marca M,Bebidas,Grãos,Zero,UN,4836.0,1,0,132,226.4,153.95,18.0,1,True
133,PRD000133,7890000000133,Açúcar Natural 133,Marca N,Higiene,Sucos,Tradicional,KG,59.0,0,0,133,256.7,161.72,25.0,1,True
134,PRD000134,7890000000134,Farinha Suave 134,Marca Própria,Limpeza,Banho,Orgânico,G,132.0,0,0,134,93.2,61.51,32.0,1,True
135,PRD000135,7890000000135,Óleo Extra 135,Marca A,Laticínios,Casa,Sem Glúten,L,205.0,0,1,135,34.5,24.5,39.0,1,True
136,PRD000136,7890000000136,Água Max 136,Marca B,Açougue,Frios,Sem Lactose,ML,278.0,0,1,136,429.6,339.38,46.0,1,True
137,PRD000137,7890000000137,Chocolate Fresh 137,Marca C,Padaria,Carnes,Kids,CX,351.0,0,1,137,27.9,16.46,20.0,1,True
138,PRD000138,7890000000138,Ração Plus 138,Marca D,Bazar,Pães,Família,UN,424.0,0,0,138,571.8,423.13,27.0,1,True
139,PRD000139,7890000000139,Absorvente Caseiro 139,Marca E,Pet,Utilidades,Refil,KG,497.0,0,0,139,54.7,41.57,34.0,1,True
140,PRD000140,7890000000140,Arroz Artesanal 140,Marca F,Mercearia,Animais,Concentrado,G,570.0,0,0,140,35.0,25.2,41.0,1,True
141,PRD000141,7890000000141,Feijão Fortificado 141,Marca G,Mercearia,Doces,Mini,L,643.0,0,0,141,36.3,26.14,48.0,1,True
142,PRD000142,7890000000142,Macarrão Kids 142,Marca H,Bebidas,Cereais,Grande,ML,716.0,0,0,142,243.4,165.51,22.0,1,True
143,PRD000143,7890000000143,Leite Original 143,Marca I,Higiene,Perfumaria,Econômico,CX,789.0,1,0,143,275.7,173.69,29.0,1,True
144,PRD000144,7890000000144,Refrigerante Tradicional 144,Marca J,Limpeza,Grãos,Standard,UN,862.0,0,1,144,116.2,76.69,36.0,1,True
145,PRD000145,7890000000145,Sabonete Premium 145,Marca K,Laticínios,Sucos,Premium,KG,935.0,0,1,145,63.5,45.09,43.0,1,True
146,PRD000146,7890000000146,Detergente Integral 146,Marca L,Açougue,Banho,Diet,G,1008.0,0,1,146,10.6,8.37,50.0,1,True
147,PRD000147,7890000000147,Shampoo Light 147,Marca M,Padaria,Casa,Light,L,1081.0,0,0,147,64.9,38.29,24.0,1,True
148,PRD000148,7890000000148,Iogurte Zero 148,Marca N,Bazar,Frios,Zero,ML,1154.0,0,0,148,612.8,453.47,31.0,1,True
149,PRD000149,7890000000149,Queijo Família 149,Marca Própria,Pet,Carnes,Tradicional,CX,1227.0,0,0,149,97.7,74.25,38.0,1,True
150,PRD000150,7890000000150,Pão Econômico 150,Marca A,Mercearia,Pães,Orgânico,UN,1300.0,0,0,150,48.0,34.56,45.0,1,True
151,PRD000151,7890000000151,Biscoito Natural 151,Marca B,Mercearia,Utilidades,Sem Glúten,KG,1373.0,0,0,151,49.3,35.5,19.0,1,True
152,PRD000152,7890000000152,Café Suave 152,Marca C,Bebidas,Animais,Sem Lactose,G,1446.0,0,0,152,10.4,7.07,26.0,1,True
153,PRD000153,7890000000153,Açúcar Extra 153,Marca D,Higiene,Doces,Kids,L,1519.0,0,1,153,294.7,185.66,33.0,1,True
154,PRD000154,7890000000154,Farinha Max 154,Marca E,Limpeza,Cereais,Família,ML,1592.0,1,1,154,139.2,91.87,40.0,1,True
155,PRD000155,7890000000155,Óleo Fresh 155,Marca F,Laticínios,Perfumaria,Refil,CX,1665.0,0,1,155,92.5,65.68,47.0,1,True
156,PRD000156,7890000000156,Água Plus 156,Marca G,Açougue,Grãos,Concentrado,UN,1738.0,0,0,156,41.6,32.86,21.0,1,True
157,PRD000157,7890000000157,Chocolate Caseiro 157,Marca H,Padaria,Sucos,Mini,KG,1811.0,0,0,157,101.9,60.12,28.0,1,True
158,PRD000158,7890000000158,Ração Artesanal 158,Marca I,Bazar,Banho,Grande,G,1884.0,0,0,158,653.8,483.81,35.0,1,True
159,PRD000159,7890000000159,Absorvente Fortificado 159,Marca J,Pet,Casa,Econômico,L,1957.0,0,0,159,140.7,106.93,42.0,1,True
160,PRD000160,7890000000160,Arroz Kids 160,Marca K,Mercearia,Frios,Standard,ML,2030.0,0,0,160,61.0,43.92,49.0,1,True
161,PRD000161,7890000000161,Feijão Original 161,Marca L,Mercearia,Carnes,Premium,CX,2103.0,0,0,161,62.3,44.86,23.0,1,True
162,PRD000162,7890000000162,Macarrão Tradicional 162,Marca M,Bebidas,Pães,Diet,UN,2176.0,0,1,162,27.4,18.63,30.0,1,True
163,PRD000163,7890000000163,Leite Premium 163,Marca N,Higiene,Utilidades,Light,KG,2249.0,0,1,163,13.7,8.63,37.0,1,True
164,PRD000164,7890000000164,Refrigerante Integral 164,Marca Própria,Limpeza,Animais,Zero,G,2322.0,0,1,164,162.2,107.05,44.0,1,True
165,PRD000165,7890000000165,Sabonete Light 165,Marca A,Laticínios,Doces,Tradicional,L,2395.0,1,0,165,121.5,86.27,18.0,1,True
166,PRD000166,7890000000166,Detergente Zero 166,Marca B,Açougue,Cereais,Orgânico,ML,2468.0,0,0,166,72.6,57.35,25.0,1,True
167,PRD000167,7890000000167,Shampoo Família 167,Marca C,Padaria,Perfumaria,Sem Glúten,CX,2541.0,0,0,167,18.9,11.15,32.0,1,True
168,PRD000168,7890000000168,Iogurte Econômico 168,Marca D,Bazar,Grãos,Sem Lactose,UN,2614.0,0,0,168,44.8,33.15,39.0,1,True
169,PRD000169,7890000000169,Queijo Natural 169,Marca E,Pet,Sucos,Kids,KG,2687.0,0,0,169,183.7,139.61,46.0,1,True
170,PRD000170,7890000000170,Pão Suave 170,Marca F,Mercearia,Banho,Família,G,2760.0,0,0,170,74.0,53.28,20.0,1,True
171,PRD000171,7890000000171,Biscoito Extra 171,Marca G,Mercearia,Casa,Refil,L,2833.0,0,1,171,75.3,54.22,27.0,1,True
172,PRD000172,7890000000172,Café Max 172,Marca H,Bebidas,Frios,Concentrado,ML,2906.0,0,1,172,44.4,30.19,34.0,1,True
173,PRD000173,7890000000173,Açúcar Fresh 173,Marca I,Higiene,Carnes,Mini,CX,2979.0,0,1,173,32.7,20.6,41.0,1,True
174,PRD000174,7890000000174,Farinha Plus 174,Marca J,Limpeza,Pães,Grande,UN,3052.0,0,0,174,185.2,122.23,48.0,1,True
175,PRD000175,7890000000175,Óleo Caseiro 175,Marca K,Laticínios,Utilidades,Econômico,KG,3125.0,0,0,175,150.5,106.86,22.0,1,True
176,PRD000176,7890000000176,Água Artesanal 176,Marca L,Açougue,Animais,Standard,G,3198.0,1,0,176,103.6,81.84,29.0,1,True
177,PRD000177,7890000000177,Chocolate Fortificado 177,Marca M,Padaria,Doces,Premium,L,3271.0,0,0,177,55.9,32.98,36.0,1,True
178,PRD000178,7890000000178,Ração Kids 178,Marca N,Bazar,Cereais,Diet,ML,3344.0,0,0,178,85.8,63.49,43.0,1,True
179,PRD000179,7890000000179,Absorvente Original 179,Marca Própria,Pet,Perfumaria,Light,CX,3417.0,0,0,179,226.7,172.29,50.0,1,True
180,PRD000180,7890000000180,Arroz Tradicional 180,Marca A,Mercearia,Grãos,Zero,UN,3490.0,0,1,180,87.0,62.64,24.0,1,True
181,PRD000181,7890000000181,Feijão Premium 181,Marca B,Mercearia,Sucos,Tradicional,KG,3563.0,0,1,181,88.3,63.58,31.0,1,True
182,PRD000182,7890000000182,Macarrão Integral 182,Marca C,Bebidas,Banho,Orgânico,G,3636.0,0,1,182,61.4,41.75,38.0,1,True
183,PRD000183,7890000000183,Leite Light 183,Marca D,Higiene,Casa,Sem Glúten,L,3709.0,0,0,183,51.7,32.57,45.0,1,True
184,PRD000184,7890000000184,Refrigerante Zero 184,Marca E,Limpeza,Frios,Sem Lactose,ML,3782.0,0,0,184,208.2,137.41,19.0,1,True
185,PRD000185,7890000000185,Sabonete Família 185,Marca F,Laticínios,Carnes,Kids,CX,3855.0,0,0,185,179.5,127.45,26.0,1,True
186,PRD000186,7890000000186,Detergente Econômico 186,Marca G,Açougue,Pães,Família,UN,3928.0,0,0,186,134.6,106.33,33.0,1,True
