sk_loja,codigo_loja,nome_loja,tipo_loja,regiao,estado,cidade,bairro,area_m2,data_abertura,status_loja
35,LJ0035,Supermercado Unidade 35,Supermercado,Sudeste,RS,Ribeirão Preto,Vila Mariana,5095,2013-01-29,Ativa
36,LJ0036,Supermercado Unidade 36,Atacarejo,Sul,BA,São Paulo,Santana,5232,2013-03-23,Ativa
37,LJ0037,Supermercado Unidade 37,Atacarejo,Nordeste,GO,Rio de Janeiro,Ipiranga,5369,2013-05-15,Ativa
38,LJ0038,Supermercado Unidade 38,Loja de Bairro,Centro-Oeste,PE,Belo Horizonte,Butantã,5506,2013-07-07,Ativa
39,LJ0039,Supermercado Unidade 39,Loja de Bairro,Norte,CE,Campinas,Lapa,5643,2013-08-29,Ativa
40,LJ0040,Supermercado Unidade 40,Loja de Bairro,Sudeste,SP,Curitiba,Liberdade,5780,2013-10-21,Ativa
41,LJ0041,Supermercado Unidade 41,Hipermercado,Sul,RJ,Porto Alegre,Saúde,5917,2013-12-13,Ativa
42,LJ0042,Supermercado Unidade 42,Hipermercado,Nordeste,MG,Salvador,Morumbi,6054,2014-02-04,Ativa
43,LJ0043,Supermercado Unidade 43,Supermercado,Centro-Oeste,PR,Goiânia,Perdizes,6191,2014-03-29,Ativa
44,LJ0044,Supermercado Unidade 44,Supermercado,Norte,SC,Recife,Bela Vista,6328,2014-05-21,Ativa
45,LJ0045,Supermercado Unidade 45,Supermercado,Sudeste,RS,Fortaleza,Centro,6465,2014-07-13,Ativa
46,LJ0046,Supermercado Unidade 46,Atacarejo,Sul,BA,Santos,Jardins,6602,2014-09-04,Ativa
47,LJ0047,Supermercado Unidade 47,Atacarejo,Nordeste,GO,Ribeirão Preto,Moema,6739,2014-10-27,Ativa
48,LJ0048,Supermercado Unidade 48,Loja de Bairro,Centro-Oeste,PE,São Paulo,Tatuapé,6876,2014-12-19,Ativa
49,LJ0049,Supermercado Unidade 49,Loja de Bairro,Norte,CE,Rio de Janeiro,Pinheiros,7013,2015-02-10,Ativa
50,LJ0050,Supermercado Unidade 50,Loja de Bairro,Sudeste,SP,Belo Horizonte,Vila Mariana,7150,2015-04-04,Ativa
51,LJ0051,Supermercado Unidade 51,Hipermercado,Sul,RJ,Campinas,Santana,7287,2015-05-27,Ativa
52,LJ0052,Supermercado Unidade 52,Hipermercado,Nordeste,MG,Curitiba,Ipiranga,7424,2015-07-19,Ativa
53,LJ0053,Supermercado Unidade 53,Supermercado,Centro-Oeste,PR,Porto Alegre,Butantã,7561,2015-09-10,Ativa
54,LJ0054,Supermercado Unidade 54,Supermercado,Norte,SC,Salvador,Lapa,7698,2015-11-02,Ativa
55,LJ0055,Supermercado Unidade 55,Supermercado,Sudeste,RS,Goiânia,Liberdade,7835,2015-12-25,Ativa
56,LJ0056,Supermercado Unidade 56,Atacarejo,Sul,BA,Recife,Saúde,7972,2016-02-16,Ativa
57,LJ0057,Supermercado Unidade 57,Atacarejo,Nordeste,GO,Fortaleza,Morumbi,309,2016-04-09,Ativa
58,LJ0058,Supermercado Unidade 58,Loja de Bairro,Centro-Oeste,PE,Santos,Perdizes,446,2016-06-01,Em reforma
59,LJ0059,Supermercado Unidade 59,Loja de Bairro,Norte,CE,Ribeirão Preto,Bela Vista,583,2016-07-24,Ativa
60,LJ0060,Supermercado Unidade 60,Loja de Bairro,Sudeste,SP,São Paulo,Centro,720,2016-09-15,Ativa
61,LJ0061,Supermercado Unidade 61,Hipermercado,Sul,RJ,Rio de Janeiro,Jardins,857,2016-11-07,Ativa
62,LJ0062,Supermercado Unidade 62,Hipermercado,Nordeste,MG,Belo Horizonte,Moema,994,2016-12-30,Ativa
63,LJ0063,Supermercado Unidade 63,Supermercado,Centro-Oeste,PR,Campinas,Tatuapé,1131,2017-02-21,Ativa
64,LJ0064,Supermercado Unidade 64,Supermercado,Norte,SC,Curitiba,Pinheiros,1268,2017-04-15,Ativa
65,LJ0065,Supermercado Unidade 65,Supermercado,Sudeste,RS,Porto Alegre,Vila Mariana,1405,2017-06-07,Ativa
66,LJ0066,Supermercado Unidade 66,Atacarejo,Sul,BA,Salvador,Santana,1542,2017-07-30,Ativa
67,LJ0067,Supermercado Unidade 67,Atacarejo,Nordeste,GO,Goiânia,Ipiranga,1679,2017-09-21,Ativa
68,LJ0068,Supermercado Unidade 68,Loja de Bairro,Centro-Oeste,PE,Recife,Butantã,1816,2017-11-13,Ativa
69,LJ0069,Supermercado Unidade 69,Loja de Bairro,Norte,CE,Fortaleza,Lapa,1953,2018-01-05,Ativa
70,LJ0070,Supermercado Unidade 70,Loja de Bairro,Sudeste,SP,Santos,Liberdade,2090,2018-02-27,Ativa
71,LJ0071,Supermercado Unidade 71,Hipermercado,Sul,RJ,Ribeirão Preto,Saúde,2227,2018-04-21,Ativa
72,LJ0072,Supermercado Unidade 72,Hipermercado,Nordeste,MG,São Paulo,Morumbi,2364,2018-06-13,Ativa
73,LJ0073,Supermercado Unidade 73,Supermercado,Centro-Oeste,PR,Rio de Janeiro,Perdizes,2501,2018-08-05,Ativa
74,LJ0074,Supermercado Unidade 74,Supermercado,Norte,SC,Belo Horizonte,Bela Vista,2638,2018-09-27,Ativa
75,LJ0075,Supermercado Unidade 75,Supermercado,Sudeste,RS,Campinas,Centro,2775,2018-11-19,Ativa
76,LJ0076,Supermercado Unidade 76,Atacarejo,Sul,BA,Curitiba,Jardins,2912,2019-01-11,Ativa
77,LJ0077,Supermercado Unidade 77,Atacarejo,Nordeste,GO,Porto Alegre,Moema,3049,2019-03-05,Ativa
78,LJ0078,Supermercado Unidade 78,Loja de Bairro,Centro-Oeste,PE,Salvador,Tatuapé,3186,2019-04-27,Ativa
79,LJ0079,Supermercado Unidade 79,Loja de Bairro,Norte,CE,Goiânia,Pinheiros,3323,2019-06-19,Ativa
80,LJ0080,Supermercado Unidade 80,Loja de Bairro,Sudeste,SP,Recife,Vila Mariana,3460,2019-08-11,Ativa
81,LJ0081,Supermercado Unidade 81,Hipermercado,Sul,RJ,Fortaleza,Santana,3597,2019-10-03,Ativa
82,LJ0082,Supermercado Unidade 82,Hipermercado,Nordeste,MG,Santos,Ipiranga,3734,2019-11-25,Ativa
83,LJ0083,Supermercado Unidade 83,Supermercado,Centro-Oeste,PR,Ribeirão Preto,Butantã,3871,2020-01-17,Ativa
84,LJ0084,Supermercado Unidade 84,Supermercado,Norte,SC,São Paulo,Lapa,4008,2020-03-10,Ativa
85,LJ0085,Supermercado Unidade 85,Supermercado,Sudeste,RS,Rio de Janeiro,Liberdade,4145,2020-05-02,Ativa
