sk_estoque,sk_tempo,sk_loja,sk_produto,estoque_inicial,entrada,saida,perda,ruptura,estoque_final,cobertura_dias
153,460,1,1072,303,9,41,1,0,270,6.59
154,463,6,1079,314,22,58,2,0,276,4.76
155,466,11,1086,325,35,75,3,0,282,3.76
156,469,16,1093,336,48,92,4,0,288,3.13
157,472,21,1100,347,61,109,5,0,294,2.7
158,475,26,1107,358,74,126,6,0,300,2.38
159,478,31,1114,369,87,143,7,0,306,2.14
160,481,36,1121,30,100,0,0,0,130,130.0
161,484,41,1128,41,113,17,1,0,136,8.0
162,487,46,1135,52,126,34,2,0,142,4.18
163,490,51,1142,63,139,51,3,0,148,2.9
164,493,56,1149,74,152,68,4,0,154,2.26
165,496,61,1156,85,165,85,5,0,160,1.88
166,499,66,1163,96,178,102,6,0,166,1.63
167,502,71,1170,107,11,119,7,1,0,0.0
168,505,76,1177,118,24,136,0,0,6,0.04
169,508,81,1184,129,37,153,1,0,12,0.08
170,511,1,1191,140,50,10,2,0,178,17.8
171,514,6,1198,151,63,27,3,0,184,6.81
172,517,11,1205,162,76,44,4,0,190,4.32
173,520,16,1212,173,89,61,5,0,196,3.21
174,523,21,1219,184,102,78,6,0,202,2.59
175,526,26,1226,195,115,95,7,0,208,2.19
176,529,31,1233,206,128,112,0,0,222,1.98
177,532,36,1240,217,141,129,1,0,228,1.77
178,535,41,1247,228,154,146,2,0,234,1.6
179,538,46,1254,239,167,3,3,0,400,133.33
180,541,51,1261,250,0,20,4,0,226,11.3
181,544,56,1268,261,13,37,5,0,232,6.27
182,547,61,1275,272,26,54,6,0,238,4.41
183,550,66,1282,283,39,71,7,0,244,3.44
184,553,71,1289,294,52,88,0,0,258,2.93
185,556,76,1296,305,65,105,1,0,264,2.51
186,559,81,1303,316,78,122,2,0,270,2.21
187,562,1,1310,327,91,139,3,0,276,1.99
188,565,6,1317,338,104,156,4,0,282,1.81
189,568,11,1324,349,117,13,5,0,448,34.46
190,571,16,1331,360,130,30,6,0,454,15.13
191,574,21,1338,21,143,47,7,0,110,2.34
192,577,26,1345,32,156,64,0,0,124,1.94
193,580,31,1352,43,169,81,1,0,130,1.6
194,583,36,1359,54,2,98,2,1,0,0.0
195,586,41,1366,65,15,115,3,1,0,0.0
196,589,46,1373,76,28,132,4,1,0,0.0
197,592,51,1380,87,41,149,5,1,0,0.0
198,595,56,1387,98,54,6,6,0,140,23.33
199,598,61,1394,109,67,23,7,0,146,6.35
200,601,66,1401,120,80,40,0,0,160,4.0
201,604,71,1408,131,93,57,1,0,166,2.91
202,607,76,1415,142,106,74,2,0,172,2.32
203,610,81,1422,153,119,91,3,0,178,1.96
204,613,1,1429,164,132,108,4,0,184,1.7
205,616,6,1436,175,145,125,5,0,190,1.52
206,619,11,1443,186,158,142,6,0,196,1.38
207,622,16,1450,197,171,159,7,0,202,1.27
208,625,21,1457,208,4,16,0,0,196,12.25
209,628,26,1464,219,17,33,1,0,202,6.12
210,631,31,1471,230,30,50,2,0,208,4.16
211,634,36,1478,241,43,67,3,0,214,3.19
212,637,41,1485,252,56,84,4,0,220,2.62
213,640,46,1492,263,69,101,5,0,226,2.24
214,643,51,1499,274,82,118,6,0,232,1.97
215,646,56,1506,285,95,135,7,0,238,1.76
216,649,61,1513,296,108,152,0,0,252,1.66
217,652,66,1520,307,121,9,1,0,418,46.44
218,655,71,1527,318,134,26,2,0,424,16.31
219,658,76,1534,329,147,43,3,0,430,10.0
220,661,81,1541,340,160,60,4,0,436,7.27
221,664,1,1548,351,173,77,5,0,442,5.74
222,667,6,1555,362,6,94,6,0,268,2.85
223,670,11,1562,23,19,111,7,1,0,0.0
224,673,16,1569,34,32,128,0,1,0,0.0
225,676,21,1576,45,45,145,1,1,0,0.0
226,679,26,1583,56,58,2,2,0,110,55.0
227,682,31,1590,67,71,19,3,0,116,6.11
228,685,36,1597,78,84,36,4,0,122,3.39
229,688,41,1604,89,97,53,5,0,128,2.42
230,691,46,1611,100,110,70,6,0,134,1.91
231,694,51,1618,111,123,87,7,0,140,1.61
232,697,56,1625,122,136,104,0,0,154,1.48
233,700,61,1632,133,149,121,1,0,160,1.32
234,703,66,1639,144,162,138,2,0,166,1.2
235,706,71,1646,155,175,155,3,0,172,1.11
236,709,76,1653,166,8,12,4,0,158,13.17
237,712,81,1660,177,21,29,5,0,164,5.66
238,715,1,1667,188,34,46,6,0,170,3.7
239,718,6,1674,199,47,63,7,0,176,2.79
240,721,11,1681,210,60,80,0,0,190,2.38
241,724,16,1688,221,73,97,1,0,196,2.02
242,727,21,1695,232,86,114,2,0,202,1.77
243,730,26,1702,243,99,131,3,0,208,1.59
244,733,31,1709,254,112,148,4,0,214,1.45
245,736,36,1716,265,125,5,5,0,380,76.0
246,739,41,1723,276,138,22,6,0,386,17.55
247,742,46,1730,287,151,39,7,0,392,10.05
248,745,51,1737,298,164,56,0,0,406,7.25
249,748,56,1744,309,177,73,1,0,412,5.64
250,751,61,1751,320,10,90,2,0,238,2.64
251,754,66,1758,331,23,107,3,0,244,2.28
252,757,71,1765,342,36,124,4,0,250,2.02
253,760,76,1772,353,49,141,5,0,256,1.82
254,763,81,1779,364,62,158,6,0,262,1.66
255,766,1,1786,25,75,15,7,0,78,5.2
256,769,6,1793,36,88,32,0,0,92,2.88
257,772,11,1800,47,101,49,1,0,98,2.0
258,775,16,1807,58,114,66,2,0,104,1.58
259,778,21,1814,69,127,83,3,0,110,1.33
260,781,26,1821,80,140,100,4,0,116,1.16
261,784,31,1828,91,153,117,5,0,122,1.04
262,787,36,1835,102,166,134,6,0,128,0.96
263,790,41,1842,113,179,151,7,0,134,0.89
264,793,46,1849,124,12,8,0,0,128,16.0
265,796,51,1856,135,25,25,1,0,134,5.36
266,799,56,1863,146,38,42,2,0,140,3.33
267,802,61,1870,157,51,59,3,0,146,2.47
268,805,66,1877,168,64,76,4,0,152,2.0
269,808,71,1884,179,77,93,5,0,158,1.7
270,811,76,1891,190,90,110,6,0,164,1.49
271,814,81,1898,201,103,127,7,0,170,1.34
272,817,1,1905,212,116,144,0,0,184,1.28
273,820,6,1912,223,129,1,1,0,350,350.0
274,823,11,1919,234,142,18,2,0,356,19.78
275,826,16,1926,245,155,35,3,0,362,10.34
276,829,21,1933,256,168,52,4,0,368,7.08
277,832,26,1940,267,1,69,5,0,194,2.81
278,835,31,1947,278,14,86,6,0,200,2.33
279,838,36,1954,289,27,103,7,0,206,2.0
280,841,41,1961,300,40,120,0,0,220,1.83
281,844,46,1968,311,53,137,1,0,226,1.65
282,847,51,1975,322,66,154,2,0,232,1.51
283,850,56,1982,333,79,11,3,0,398,36.18
284,853,61,1989,344,92,28,4,0,404,14.43
285,856,66,1996,355,105,45,5,0,410,9.11
286,859,71,2003,366,118,62,6,0,416,6.71
287,862,76,2010,27,131,79,7,0,72,0.91
288,865,81,2017,38,144,96,0,0,86,0.9
289,868,1,2024,49,157,113,1,0,92,0.81
290,871,6,2031,60,170,130,2,0,98,0.75
291,874,11,2038,71,3,147,3,1,0,0.0
292,877,16,2045,82,16,4,4,0,90,22.5
293,880,21,2052,93,29,21,5,0,96,4.57
294,883,26,2059,104,42,38,6,0,102,2.68
295,886,31,2066,115,55,55,7,0,108,1.96
296,889,36,2073,126,68,72,0,0,122,1.69
297,892,41,2080,137,81,89,1,0,128,1.44
298,895,46,2087,148,94,106,2,0,134,1.26
299,898,51,2094,159,107,123,3,0,140,1.14
300,901,56,2101,170,120,140,4,0,146,1.04
301,904,61,2108,181,133,157,5,0,152,0.97
302,907,66,2115,192,146,14,6,0,318,22.71
303,910,71,2122,203,159,31,7,0,324,10.45
304,913,76,2129,214,172,48,0,0,338,7.04
305,916,81,2136,225,5,65,1,0,164,2.52
306,919,1,2143,236,18,82,2,0,170,2.07
307,922,6,2150,247,31,99,3,0,176,1.78
308,925,11,2157,258,44,116,4,0,182,1.57
309,928,16,2164,269,57,133,5,0,188,1.41
310,931,21,2171,280,70,150,6,0,194,1.29
311,934,26,2178,291,83,7,7,0,360,51.43
312,937,31,2185,302,96,24,0,0,374,15.58
313,940,36,2192,313,109,41,1,0,380,9.27
314,943,41,2199,324,122,58,2,0,386,6.66
315,946,46,2206,335,135,75,3,0,392,5.23
316,949,51,2213,346,148,92,4,0,398,4.33
317,952,56,2220,357,161,109,5,0,404,3.71
318,955,61,2227,368,174,126,6,0,410,3.25
319,958,66,2234,29,7,143,7,1,0,0.0
320,961,71,2241,40,20,0,0,0,60,60.0
321,964,76,2248,51,33,17,1,0,66,3.88
322,967,81,2255,62,46,34,2,0,72,2.12
323,970,1,2262,73,59,51,3,0,78,1.53
324,973,6,2269,84,72,68,4,0,84,1.24
325,976,11,2276,95,85,85,5,0,90,1.06
326,979,16,2283,106,98,102,6,0,96,0.94
327,982,21,2290,117,111,119,7,0,102,0.86
328,985,26,2297,128,124,136,0,0,116,0.85
329,988,31,2304,139,137,153,1,0,122,0.8
330,991,36,2311,150,150,10,2,0,288,28.8
331,994,41,2318,161,163,27,3,0,294,10.89
332,997,46,2325,172,176,44,4,0,300,6.82
333,1000,51,2332,183,9,61,5,0,126,2.07
334,1003,56,2339,194,22,78,6,0,132,1.69
335,1006,61,2346,205,35,95,7,0,138,1.45
336,1009,66,2353,216,48,112,0,0,152,1.36
337,1012,71,2360,227,61,129,1,0,158,1.22
338,1015,76,2367,238,74,146,2,0,164,1.12
339,1018,81,2374,249,87,3,3,0,330,110.0
340,1021,1,2381,260,100,20,4,0,336,16.8
341,1024,6,2388,271,113,37,5,0,342,9.24
342,1027,11,2395,282,126,54,6,0,348,6.44
343,1030,16,2402,293,139,71,7,0,354,4.99
344,1033,21,2409,304,152,88,0,0,368,4.18
345,1036,26,2416,315,165,105,1,0,374,3.56
346,1039,31,2423,326,178,122,2,0,380,3.11
347,1042,36,2430,337,11,139,3,0,206,1.48
348,1045,41,2437,348,24,156,4,0,212,1.36
349,1048,46,2444,359,37,13,5,0,378,29.08
350,1051,51,2451,20,50,30,6,0,34,1.13
351,1054,56,2458,31,63,47,7,0,40,0.85
352,1057,61,2465,42,76,64,0,0,54,0.84
353,1060,66,2472,53,89,81,1,0,60,0.74
354,1063,71,2479,64,102,98,2,0,66,0.67
355,1066,76,2486,75,115,115,3,0,72,0.63
356,1069,81,2493,86,128,132,4,0,78,0.59
357,1072,1,2500,97,141,149,5,0,84,0.56
358,1075,6,2507,108,154,6,6,0,250,41.67
359,1078,11,2514,119,167,23,7,0,256,11.13
360,1081,16,2521,130,0,40,0,0,90,2.25
361,1084,21,2528,141,13,57,1,0,96,1.68
362,1087,26,2535,152,26,74,2,0,102,1.38
363,1090,31,2542,163,39,91,3,0,108,1.19
364,1093,36,2549,174,52,108,4,0,114,1.06
365,1096,41,2556,185,65,125,5,0,120,0.96
366,3,46,2563,196,78,142,6,0,126,0.89
367,6,51,2570,207,91,159,7,0,132,0.83
368,9,56,2577,218,104,16,0,0,306,19.13
369,12,61,2584,229,117,33,1,0,312,9.45
370,15,66,2591,240,130,50,2,0,318,6.36
371,18,71,2598,251,143,67,3,0,324,4.84
372,21,76,2605,262,156,84,4,0,330,3.93
373,24,81,2612,273,169,101,5,0,336,3.33
374,27,1,2619,284,2,118,6,0,162,1.37
375,30,6,2626,295,15,135,7,0,168,1.24
376,33,11,2633,306,28,152,0,0,182,1.2
377,36,16,2640,317,41,9,1,0,348,38.67
378,39,21,2647,328,54,26,2,0,354,13.62
379,42,26,2654,339,67,43,3,0,360,8.37
380,45,31,2661,350,80,60,4,0,366,6.1
381,48,36,2668,361,93,77,5,0,372,4.83
382,51,41,2675,22,106,94,6,0,28,0.3
383,54,46,2682,33,119,111,7,0,34,0.31
384,57,51,2689,44,132,128,0,0,48,0.38
385,60,56,2696,55,145,145,1,0,54,0.37
386,63,61,2703,66,158,2,2,0,220,110.0
387,66,66,2710,77,171,19,3,0,226,11.89
388,69,71,2717,88,4,36,4,0,52,1.44
389,72,76,2724,99,17,53,5,0,58,1.09
390,75,81,2731,110,30,70,6,0,64,0.91
391,78,1,2738,121,43,87,7,0,70,0.8
392,81,6,2745,132,56,104,0,0,84,0.81
393,84,11,2752,143,69,121,1,0,90,0.74
394,87,16,2759,154,82,138,2,0,96,0.7
395,90,21,2766,165,95,155,3,0,102,0.66
396,93,26,2773,176,108,12,4,0,268,22.33
397,96,31,2780,187,121,29,5,0,274,9.45
398,99,36,2787,198,134,46,6,0,280,6.09
399,102,41,2794,209,147,63,7,0,286,4.54
400,105,46,2801,220,160,80,0,0,300,3.75
401,108,51,2808,231,173,97,1,0,306,3.15
402,111,56,2815,242,6,114,2,0,132,1.16
403,114,61,2822,253,19,131,3,0,138,1.05
404,117,66,2829,264,32,148,4,0,144,0.97
405,120,71,2836,275,45,5,5,0,310,62.0
406,123,76,2843,286,58,22,6,0,316,14.36
407,126,81,2850,297,71,39,7,0,322,8.26
408,129,1,2857,308,84,56,0,0,336,6.0
409,132,6,2864,319,97,73,1,0,342,4.68
410,135,11,2871,330,110,90,2,0,348,3.87
411,138,16,2878,341,123,107,3,0,354,3.31
412,141,21,2885,352,136,124,4,0,360,2.9
413,144,26,2892,363,149,141,5,0,366,2.6
414,147,31,2899,24,162,158,6,0,22,0.14
415,150,36,2906,35,175,15,7,0,188,12.53
416,153,41,2913,46,8,32,0,0,22,0.69
417,156,46,2920,57,21,49,1,0,28,0.57
418,159,51,2927,68,34,66,2,0,34,0.52
419,162,56,2934,79,47,83,3,0,40,0.48
420,165,61,2941,90,60,100,4,0,46,0.46
421,168,66,2948,101,73,117,5,0,52,0.44
422,171,71,2955,112,86,134,6,0,58,0.43
423,174,76,2962,123,99,151,7,0,64,0.42
424,177,81,2969,134,112,8,0,0,238,29.75
425,180,1,2976,145,125,25,1,0,244,9.76
426,183,6,2983,156,138,42,2,0,250,5.95
427,186,11,2990,167,151,59,3,0,256,4.34
428,189,16,2997,178,164,76,4,0,262,3.45
429,192,21,3004,189,177,93,5,0,268,2.88
430,195,26,3011,200,10,110,6,0,94,0.85
431,198,31,3018,211,23,127,7,0,100,0.79
432,201,36,3025,222,36,144,0,0,114,0.79
433,204,41,3032,233,49,1,1,0,280,280.0
434,207,46,3039,244,62,18,2,0,286,15.89
435,210,51,3046,255,75,35,3,0,292,8.34
436,213,56,3053,266,88,52,4,0,298,5.73
437,216,61,3060,277,101,69,5,0,304,4.41
438,219,66,3067,288,114,86,6,0,310,3.6
439,222,71,3074,299,127,103,7,0,316,3.07
440,225,76,3081,310,140,120,0,0,330,2.75
441,228,81,3088,321,153,137,1,0,336,2.45
442,231,1,3095,332,166,154,2,0,342,2.22
443,234,6,3102,343,179,11,3,0,508,46.18
444,237,11,3109,354,12,28,4,0,334,11.93
445,240,16,3116,365,25,45,5,0,340,7.56
446,243,21,3123,26,38,62,6,1,0,0.0
447,246,26,3130,37,51,79,7,0,2,0.03
448,249,31,3137,48,64,96,0,0,16,0.17
449,252,36,3144,59,77,113,1,0,22,0.19
450,255,41,3151,70,90,130,2,0,28,0.22
451,258,46,3158,81,103,147,3,0,34,0.23
452,261,51,3165,92,116,4,4,0,200,50.0
453,264,56,3172,103,129,21,5,0,206,9.81
454,267,61,3179,114,142,38,6,0,212,5.58
455,270,66,3186,125,155,55,7,0,218,3.96
456,273,71,3193,136,168,72,0,0,232,3.22
457,276,76,3200,147,1,89,1,0,58,0.65
458,279,81,3207,158,14,106,2,0,64,0.6
459,282,1,3214,169,27,123,3,0,70,0.57
460,285,6,3221,180,40,140,4,0,76,0.54
461,288,11,3228,191,53,157,5,0,82,0.52
462,291,16,3235,202,66,14,6,0,248,17.71
463,294,21,3242,213,79,31,7,0,254,8.19
464,297,26,3249,224,92,48,0,0,268,5.58
465,300,31,3256,235,105,65,1,0,274,4.22
466,303,36,3263,246,118,82,2,0,280,3.41
467,306,41,3270,257,131,99,3,0,286,2.89
468,309,46,3277,268,144,116,4,0,292,2.52
469,312,51,3284,279,157,133,5,0,298,2.24
470,315,56,3291,290,170,150,6,0,304,2.03
471,318,61,3298,301,3,7,7,0,290,41.43
472,321,66,3305,312,16,24,0,0,304,12.67
473,324,71,3312,323,29,41,1,0,310,7.56
474,327,76,3319,334,42,58,2,0,316,5.45
475,330,81,3326,345,55,75,3,0,322,4.29
476,333,1,3333,356,68,92,4,0,328,3.57
477,336,6,3340,367,81,109,5,0,334,3.06
478,339,11,3347,28,94,126,6,1,0,0.0
479,342,16,3354,39,107,143,7,1,0,0.0
480,345,21,3361,50,120,0,0,0,170,170.0
481,348,26,3368,61,133,17,1,0,176,10.35
482,351,31,3375,72,146,34,2,0,182,5.35
483,354,36,3382,83,159,51,3,0,188,3.69
484,357,41,3389,94,172,68,4,0,194,2.85
485,360,46,3396,105,5,85,5,0,20,0.24
486,363,51,3403,116,18,102,6,0,26,0.25
487,366,56,3410,127,31,119,7,0,32,0.27
488,369,61,3417,138,44,136,0,0,46,0.34
489,372,66,3424,149,57,153,1,0,52,0.34
490,375,71,3431,160,70,10,2,0,218,21.8
491,378,76,3438,171,83,27,3,0,224,8.3
492,381,81,3445,182,96,44,4,0,230,5.23
493,384,1,3452,193,109,61,5,0,236,3.87
494,387,6,3459,204,122,78,6,0,242,3.1
495,390,11,3466,215,135,95,7,0,248,2.61
496,393,16,3473,226,148,112,0,0,262,2.34
497,396,21,3480,237,161,129,1,0,268,2.08
498,399,26,3487,248,174,146,2,0,274,1.88
499,402,31,3494,259,7,3,3,0,260,86.67
500,405,36,3501,270,20,20,4,0,266,13.3
501,408,41,3508,281,33,37,5,0,272,7.35
502,411,46,3515,292,46,54,6,0,278,5.15
503,414,51,3522,303,59,71,7,0,284,4.0
504,417,56,3529,314,72,88,0,0,298,3.39
505,420,61,3536,325,85,105,1,0,304,2.9
506,423,66,3543,336,98,122,2,0,310,2.54
507,426,71,3550,347,111,139,3,0,316,2.27
508,429,76,3557,358,124,156,4,0,322,2.06
509,432,81,3564,369,137,13,5,0,488,37.54
510,435,1,3571,30,150,30,6,0,144,4.8
511,438,6,3578,41,163,47,7,0,150,3.19
512,441,11,3585,52,176,64,0,0,164,2.56
513,444,16,3592,63,9,81,1,1,0,0.0
514,447,21,3599,74,22,98,2,1,0,0.0
515,450,26,3606,85,35,115,3,0,2,0.02
516,453,31,3613,96,48,132,4,0,8,0.06
517,456,36,3620,107,61,149,5,0,14,0.09
518,459,41,3627,118,74,6,6,0,180,30.0
519,462,46,3634,129,87,23,7,0,186,8.09
520,465,51,3641,140,100,40,0,0,200,5.0
521,468,56,3648,151,113,57,1,0,206,3.61
522,471,61,3655,162,126,74,2,0,212,2.86
523,474,66,3662,173,139,91,3,0,218,2.4
524,477,71,3669,184,152,108,4,0,224,2.07
525,480,76,3676,195,165,125,5,0,230,1.84
526,483,81,3683,206,178,142,6,0,236,1.66
527,486,1,3690,217,11,159,7,0,62,0.39
528,489,6,3697,228,24,16,0,0,236,14.75
529,492,11,3704,239,37,33,1,0,242,7.33
530,495,16,3711,250,50,50,2,0,248,4.96
531,498,21,3718,261,63,67,3,0,254,3.79
532,501,26,3725,272,76,84,4,0,260,3.1
533,504,31,3732,283,89,101,5,0,266,2.63
534,507,36,3739,294,102,118,6,0,272,2.31
535,510,41,3746,305,115,135,7,0,278,2.06
536,513,46,3753,316,128,152,0,0,292,1.92
537,516,51,3760,327,141,9,1,0,458,50.89
538,519,56,3767,338,154,26,2,0,464,17.85
539,522,61,3774,349,167,43,3,0,470,10.93
540,525,66,3781,360,0,60,4,0,296,4.93
541,528,71,3788,21,13,77,5,1,0,0.0
542,531,76,3795,32,26,94,6,1,0,0.0
543,534,81,3802,43,39,111,7,1,0,0.0
544,537,1,3809,54,52,128,0,1,0,0.0
545,540,6,3816,65,65,145,1,1,0,0.0
546,543,11,3823,76,78,2,2,0,150,75.0
547,546,16,3830,87,91,19,3,0,156,8.21
548,549,21,3837,98,104,36,4,0,162,4.5
549,552,26,3844,109,117,53,5,0,168,3.17
550,555,31,3851,120,130,70,6,0,174,2.49
551,558,36,3858,131,143,87,7,0,180,2.07
552,561,41,3865,142,156,104,0,0,194,1.87
553,564,46,3872,153,169,121,1,0,200,1.65
554,567,51,3879,164,2,138,2,0,26,0.19
555,570,56,3886,175,15,155,3,0,32,0.21
556,573,61,3893,186,28,12,4,0,198,16.5
557,576,66,3900,197,41,29,5,0,204,7.03
558,579,71,3907,208,54,46,6,0,210,4.57
559,582,76,3914,219,67,63,7,0,216,3.43
